,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Month,Hour,day_in_week,day,sentiment
10,Orwell_Horizon,Author exploring fact through fiction in an attempt to expose the corrupted reality of our global economic and political systems - no more left than I am right,birmingham england,13491,13694,6815,2019-02-07 10:03:08,2021-03-24 11:34:36,0,"of course twice vaccinated  hooked up to a perpetual covid vaccination programme safe

or is it that your  ","[{'text': 'COVID19', 'indices': [57, 65]}]",3,11,Wednesday,24,1
11,forbes_india,"Bringing you the best conversations on Indian and international business, in alliance with @Forbes. Run by our journalists. Read more at http://t.co/jSdy7uG6PL",india,965,1263403,68848,2009-02-27 23:28:43,2021-03-24 11:30:00,1,timeline one year since the worlds strictest lockdown we take a look at how coronavirus has evolved in india fr  ,[],3,11,Wednesday,24,0
12,BrianHolyman,"Easily reached, listening heart",blantyre malawi,0,0,1,2021-03-22 08:00:54,2021-03-24 11:00:51,0,"fear of unknown on covid vaccination 
shake off the propaganda circulating amongst people
go get the jab",[],3,11,Wednesday,24,0
13,DonnyoSpeaks,Failing Spectacularly and Other Amusing Coffee Break Stories.,ottawa  canada ,2810,2101,94108,2015-05-01 14:21:20,2021-03-24 10:52:34,0,wednesdaywisdom hmmmmmm  thinking  at this rate i dont expect to get my covid jab until  spring  onpoli  ,"[{'text': 'WednesdayWisdom', 'indices': [0, 16]}, {'text': 'COVID19', 'indices': [66, 74]}, {'text': 'onpoli', 'indices': [102, 109]}]",3,10,Wednesday,24,0
14,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 10:50:00,2,"people who are gtyrs may book covidvaccination appointment for april right away

covid covid covid  ","[{'text': 'COVID19Vaccination', 'indices': [34, 53]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'COVID_19', 'indices': [98, 107]}, {'text': 'COVID__19', 'indices': [108, 118]}]",3,10,Wednesday,24,0
15,ROBSILIGURI,"Official Twitter account of Bureau of Outreach & Communication (Regional Outreach Bureau),  Siliguri, West Bengal, Government of India",आश त ष म ख़र ज  र ड स भ षपल ल  ,25,62,13795,2019-09-15 07:20:04,2021-03-24 10:46:05,19,"covidnewsbymib indiafightscorona

covidvaccination  day 

india crosses a landmark milestone in covid vaccination more tha ","[{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19Vaccination', 'indices': [41, 60]}]",3,10,Wednesday,24,0
16,knightsterz_,"Simulation and Roleplay Gamer, entertainer and all round fat bloke",united kingdom,15,16,31,2019-01-30 11:48:43,2021-03-24 10:32:03,0,woo hoo that s it first covid jab done and on the road to normal covid vaccinated vaccination  ,"[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'vaccinated', 'indices': [76, 87]}, {'text': 'vaccination', 'indices': [88, 100]}]",3,10,Wednesday,24,0
17,JonasMbabazi1,"🇺🇬 Research Fellow & Project Manager, @ACODE_Uganda. Policy and Development Analyst. Views are personal. Re-tweets are not approvals! Still Evolving...",kampala,2586,1829,16466,2012-07-05 10:16:45,2021-03-24 10:30:15,1,bdbf i am proud of my brother akasingye  six months ago he was affected by covid amp gracefully recovered from it today ,[],3,10,Wednesday,24,1
18,Patrickonyango1,Senior Police Officer,kampala,479,11052,1091,2012-09-24 14:27:26,2021-03-24 10:25:54,0,covid vaccinationthe chief of joint staff aigp jack bakasumba kicked off the exercise for policeug by taking hi  ,[],3,10,Wednesday,24,1
19,ShashankBohidar,"Doctor by Profession, Sarcastically Optimistic, Nation First, Born Hindu, Admires Indian Army & NaMo, Follows BJP/RSS/VHP/HINDU-ISM/TVA, Jai Hind ... !!! 🇮🇳",bhubaneswar odisha india,211,228,43487,2016-10-09 10:18:31,2021-03-24 10:12:22,2,"covidindiaseva people who are gtyrs may book covidvaccination appointment for april right away

covid covid covid co ","[{'text': 'COVID19Vaccination', 'indices': [54, 73]}, {'text': 'COVID19', 'indices': [109, 117]}, {'text': 'COVID_19', 'indices': [118, 127]}, {'text': 'COVID__19', 'indices': [128, 138]}]",3,10,Wednesday,24,0
20,Surya29011996,All tweets are personal .So noone needn't worry about them. And also follow me for free tweets...,baleshwar india,124,73,35720,2017-01-13 11:58:41,2021-03-24 09:57:35,1,"livemint putin gets covid jab prez setting a good example for russians says kremlin

 ","[{'text': 'Covid19', 'indices': [25, 33]}]",3,9,Wednesday,24,1
21,livemint,"Breaking news and analyses of Indian and world business, economy and politics from Mint.",india,117,1953396,349933,2008-11-27 09:07:38,2021-03-24 09:55:37,1,"putin gets covid jab prez setting a good example for russians says kremlin

 ","[{'text': 'Covid19', 'indices': [11, 19]}]",3,9,Wednesday,24,1
22,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 09:55:00,2,"people who are gtyrs may book covidvaccination appointment for april right away

covid covid covid  ","[{'text': 'COVID19Vaccination', 'indices': [34, 53]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'COVID_19', 'indices': [98, 107]}, {'text': 'COVID__19', 'indices': [108, 118]}]",3,9,Wednesday,24,0
23,manjursnegi,"@Assocham4india 
Head-Media & PR. Views are personal...No space for nuisance.",new delhi,813,288,1307,2018-10-04 17:02:19,2021-03-24 09:42:16,2,deepaksood with govt deciding to allow all above  yrs to get vaccinated from apr  let vaccination become peoples movement to ,"[{'text': 'vaccinated', 'indices': [70, 81]}, {'text': 'vaccination', 'indices': [98, 110]}]",3,9,Wednesday,24,0
24,ASSOCHAM4India,Official Twitter a/c of India’s oldest apex industry body estd. 1920. Our main aim is nation-building through growth of biz & harmonious govt-industry interface,new delhi india,835,11635,8878,2018-10-02 04:12:38,2021-03-24 09:42:06,2,deepaksood with govt deciding to allow all above  yrs to get vaccinated from apr  let vaccination become peoples movement to ,"[{'text': 'vaccinated', 'indices': [70, 81]}, {'text': 'vaccination', 'indices': [98, 110]}]",3,9,Wednesday,24,0
25,Deepaksood69,"Secretary General, ASSOCHAM",new delhi india,91,712,1508,2010-12-09 10:33:48,2021-03-24 09:41:39,2,with govt deciding to allow all above  yrs to get vaccinated from apr  let vaccination become peoples moveme  ,"[{'text': 'vaccinated', 'indices': [52, 63]}, {'text': 'vaccination', 'indices': [80, 92]}]",3,9,Wednesday,24,0
26,khaleelnabulsi,Ph.D. Student in Business Administration and Management at Széchenyi István University,hungary,625,1006,32494,2010-07-24 12:05:27,2021-03-24 09:20:27,0,earlier today my father recieved his second dose from pfizer  as i am still waiting my turn for vaccination i  ,[],3,9,Wednesday,24,1
27,SimbaCalliope,Researcher: #PretermBirth #Infection #MedicalFuturist Alumnus: @StateIVLP @WorldLearning @Norecno @_AfricanUnion @AUVolunteer,japan,312,931,12954,2012-02-01 17:14:23,2021-03-24 09:20:16,4,healthinovatio the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccin ,"[{'text': 'virus', 'indices': [25, 31]}, {'text': 'COVIDー19', 'indices': [50, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'coronavirus', 'indices': [69, 81]}, {'text': 'CoronaVirusUpdates', 'indices': [82, 101]}, {'text': 'Corona', 'indices': [102, 109]}, {'text': 'vaccine', 'indices': [110, 118]}, {'text': 'vaccination', 'indices': [119, 131]}]",3,9,Wednesday,24,1
28,Aniruddhkumar85,FOUNDER OF DEV ENTERPRISES & CONSULTANT,delhi,3061,234,34373,2020-04-30 13:42:43,2021-03-24 09:04:36,1,covidindiaseva once a covidvaccine appointment is scheduled you will receive the covidvaccination details in an sms sent to your re ,"[{'text': 'CovidVaccine', 'indices': [27, 40]}, {'text': 'COVIDVaccination', 'indices': [88, 105]}]",3,9,Wednesday,24,1
29,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 09:00:00,1,once a covidvaccine appointment is scheduled you will receive the covidvaccination details in an sms sent to you  ,"[{'text': 'CovidVaccine', 'indices': [7, 20]}, {'text': 'COVIDVaccination', 'indices': [68, 85]}]",3,9,Wednesday,24,1
30,Aniruddhkumar85,FOUNDER OF DEV ENTERPRISES & CONSULTANT,delhi,3061,234,34373,2020-04-30 13:42:43,2021-03-24 08:59:49,3,"covidindiaseva you can get statewise covidvaccination data on  and setuaarogya app

covid covid c ","[{'text': 'COVID19Vaccination', 'indices': [43, 62]}, {'text': 'COVID19', 'indices': [118, 126]}, {'text': 'COVID_19', 'indices': [127, 136]}]",3,8,Wednesday,24,1
31,Arunhogari,Pragmatism Rules,india,121,44,742,2009-09-24 06:33:32,2021-03-24 08:54:09,2,"vshospitals covid vaccination is now available  vs hospitals kilpauk
timing am  pm
 safe noncovid facility
for app ",[],3,8,Wednesday,24,0
32,vshospitals,Center for Advanced Surgery - Multi-Speciality - Super-Speciality - Oncology - Wholesale Pharmacy - Retail Pharmacy - Clinic,chennai tamil nadu,1,115,860,2015-11-27 10:24:44,2021-03-24 08:51:52,2,"covid vaccination is now available  vs hospitals kilpauk
timing am  pm
 safe noncovid facility  ",[],3,8,Wednesday,24,0
33,bogoroditzaDina,"#Bulgarian forever...
A #Catalunya per casualitat...
Amo al #Cantábrico...
Interpreto cositas, a veces las  traduzco...",catalunya  bulgaria,2834,1912,167298,2014-10-10 19:10:19,2021-03-24 08:43:23,1,"euractiv also in todays the capitals 

 portugal portuguese president says eu covid vaccination process  has not gone well 
 czechrepublic small covi ","[{'text': 'COVID19', 'indices': [77, 85]}]",3,8,Wednesday,24,0
34,PIBChandigarh,"Official Twitter account of Press Information Bureau, Chandigarh, Government of India",chandigarh india,191,8152,39365,2012-04-30 12:44:13,2021-03-24 08:38:47,0,"covidvaccinationday 

 smallbluediamond india crosses a landmark milestone in covid vaccination more than  cr covid vac  ","[{'text': 'COVID19Vaccination', 'indices': [0, 19]}]",3,8,Wednesday,24,1
35,arunagg007,The World needs Peace | Motivator | Social Worker | Explorer | Learner | Proud to be an Indian.,new delhi,747,796,79253,2010-10-10 08:33:06,2021-03-24 08:34:06,3,"covidindiaseva you can get statewise covidvaccination data on  and setuaarogya app

covid covid c ","[{'text': 'COVID19Vaccination', 'indices': [43, 62]}, {'text': 'COVID19', 'indices': [118, 126]}, {'text': 'COVID_19', 'indices': [127, 136]}]",3,8,Wednesday,24,1
36,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 08:32:00,3,"you can get statewise covidvaccination data on  and setuaarogya app

covid  ","[{'text': 'COVID19Vaccination', 'indices': [23, 42]}, {'text': 'COVID19', 'indices': [98, 106]}]",3,8,Wednesday,24,1
37,PplPolicyPlace,"Research, public affairs, housing, health, social/economic policy, E&D, writes @leftfootfwd @guardian @24Housing @lsepoliticsblog @insidehousing @newstartmag",midlands uk,3940,3612,18679,2011-02-15 20:09:07,2021-03-24 08:24:46,0,the real borisjohnson speaks greed not the motivation astra zenica research funded by  bns from british taxpayer  ,[],3,8,Wednesday,24,0
38,ExpatNotesLux,"Luxembourg. Data. Infograph. Creative. Original Content Creator. 
https://t.co/mbpK45Lrr0 #dataviz",luxembourg,0,130,1077,2019-07-30 16:08:33,2021-03-24 08:19:22,0,covid vaccine efficacy relates with region astrazeneca is not the only one with different efficacy values  ,[],3,8,Wednesday,24,1
39,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 08:10:00,0,"kindly refer to annexure a list of specified comorbidities 

covid covid  ","[{'text': 'COVID19', 'indices': [89, 97]}, {'text': 'COVID_19', 'indices': [98, 107]}]",3,8,Wednesday,24,0
40,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG",bhubaneswar india,267,651732,173403,2011-12-16 07:28:52,2021-03-24 08:09:27,0,"aamir khan ramesh taurani test covid positive sanjay dutt receives first vaccine jab 

aamirkhan covid
","[{'text': 'AamirKhan', 'indices': [92, 102]}, {'text': 'COVID19', 'indices': [103, 111]}]",3,8,Wednesday,24,1
41,EURACTIV,EU news & policy debates from the European Media Network present in 12 EU capitals. Become a EURACTIV supporter: https://t.co/GWC4eezrzo | #eaDebates #EUtweets,brussels,3145,137390,63449,2008-05-17 05:33:45,2021-03-24 08:03:28,1,"also in todays the capitals 

 portugal portuguese president says eu covid vaccination process  has not gone well 
 czechrepublic s  ","[{'text': 'COVID19', 'indices': [63, 71]}]",3,8,Wednesday,24,0
42,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 07:54:00,1,"people who are gtyrs may book covidvaccination appointment for april right away

covid covid covid  ","[{'text': 'COVID19Vaccination', 'indices': [34, 53]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'COVID_19', 'indices': [98, 107]}, {'text': 'COVID__19', 'indices': [108, 118]}]",3,7,Wednesday,24,0
43,SimbaCalliope,Researcher: #PretermBirth #Infection #MedicalFuturist Alumnus: @StateIVLP @WorldLearning @Norecno @_AfricanUnion @AUVolunteer,japan,312,931,12954,2012-02-01 17:14:23,2021-03-24 07:53:41,4,sonumonika the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccineswo ,"[{'text': 'virus', 'indices': [21, 27]}, {'text': 'COVIDー19', 'indices': [46, 55]}, {'text': 'COVID19', 'indices': [56, 64]}, {'text': 'coronavirus', 'indices': [65, 77]}, {'text': 'CoronaVirusUpdates', 'indices': [78, 97]}, {'text': 'Corona', 'indices': [98, 105]}, {'text': 'vaccine', 'indices': [106, 114]}, {'text': 'vaccination', 'indices': [115, 127]}]",3,7,Wednesday,24,0
44,02b537db932643f,Chief of Party @USAID FAMILY PLANNING ACTIVITY,kampala uganda,896,678,751,2014-09-30 10:00:21,2021-03-24 07:34:33,1,i am proud of my brother akasingye  six months ago he was affected by covid amp gracefully recovered from it tod  ,[],3,7,Wednesday,24,0
45,zorinstv,ZORINS MEDIA GROUP is recently launched with its vision to deliver Qualitative Information and Entertainment for all age groups. Zorins Media group is Broadcast,worldwide india uae ksa,881,361,7611,2019-01-06 09:55:02,2021-03-24 07:34:06,0,"sanjay dutt gets his first covid jab
sanjaydutt covidvaccination bollywood bharatbiotech covid  ","[{'text': 'SanjayDutt', 'indices': [41, 52]}, {'text': 'covidvaccination2021', 'indices': [53, 74]}, {'text': 'bollywood', 'indices': [75, 85]}, {'text': 'BharatBiotech', 'indices': [86, 100]}, {'text': 'COVID19', 'indices': [101, 109]}]",3,7,Wednesday,24,0
46,univadisUK,A free medical website exclusively for healthcare professionals,united kingdom,4603,4588,3663,2009-10-12 14:33:56,2021-03-24 07:30:08,0,"uk covid update patients struggled to see gps more positive oxford jab data
 ","[{'text': 'COVID19', 'indices': [3, 11]}]",3,7,Wednesday,24,1
47,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 07:20:00,0,"yes people who are gtyrs may register for covidvaccine for covidvaccination in april

covid covid  ","[{'text': 'COVID19Vaccine', 'indices': [46, 61]}, {'text': 'COVID19Vaccination', 'indices': [66, 85]}, {'text': 'COVID19', 'indices': [97, 105]}, {'text': 'COVID_19', 'indices': [106, 115]}]",3,7,Wednesday,24,0
48,indrajitch,"Plugging Leaks & Clearing Blockages in Business Processes!!

Starting Startups - Protecting Angels - Coaching Life Coaches !!   

In love with Disruptive Ideas!",india,918,1492,13414,2009-08-19 08:08:03,2021-03-24 07:06:42,0,"day  after covid vaccination 
the pain in jab area has subsided fever is no more finally all in family have  ","[{'text': 'Covid19', 'indices': [12, 20]}, {'text': 'vaccination', 'indices': [21, 33]}]",3,7,Wednesday,24,1
49,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 07:05:00,0,to report any aefi she may contact her vaccinating officer or the covidvaccination centre for any medical emerg  ,"[{'text': 'COVID19Vaccination', 'indices': [66, 85]}]",3,7,Wednesday,24,1
50,CovidIndiaSeva,Official @MoHFW_INDIA Handle for COVID-19 Response,india,21,42165,6534,2020-03-26 17:27:34,2021-03-24 06:40:03,0,yes you may change your nd covidvaccination appointment to  weeks after the first covidvaccine shot  ,"[{'text': 'COVID19Vaccination', 'indices': [29, 48]}, {'text': 'COVIDVaccine', 'indices': [90, 103]}]",3,6,Wednesday,24,1
51,sonu_monika,A Doctor + Digital Health Entrepreneur. Contributing my bit on minimising the gap between the technology and the humanity and I am absolutely Loving it!,bengaluru india,209,124,1814,2018-08-04 07:05:24,2021-03-24 06:25:49,4,healthinovatio the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccin ,"[{'text': 'virus', 'indices': [25, 31]}, {'text': 'COVIDー19', 'indices': [50, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'coronavirus', 'indices': [69, 81]}, {'text': 'CoronaVirusUpdates', 'indices': [82, 101]}, {'text': 'Corona', 'indices': [102, 109]}, {'text': 'vaccine', 'indices': [110, 118]}, {'text': 'vaccination', 'indices': [119, 131]}]",3,6,Wednesday,24,1
52,BotNiger,Robot 🤖 qui veille retweet tout ce qui mentionne le hashtag #⃣ #Niger 🇳🇪,niger  niger  ,0,349,25577,2018-11-01 16:33:38,2021-03-24 06:24:45,1,tdpel covid sanwoolu health workers receive first jab as lagos kicks off vaccine rollout  boove covid ,"[{'text': 'HEALTH', 'indices': [32, 39]}, {'text': 'LAGOS', 'indices': [69, 75]}, {'text': 'boove', 'indices': [126, 132]}]",3,6,Wednesday,24,0
53,sonu_monika,A Doctor + Digital Health Entrepreneur. Contributing my bit on minimising the gap between the technology and the humanity and I am absolutely Loving it!,bengaluru india,209,124,1814,2018-08-04 07:05:24,2021-03-24 06:24:35,2,sonumonika the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccineswo ,"[{'text': 'virus', 'indices': [21, 27]}, {'text': 'COVIDー19', 'indices': [46, 55]}, {'text': 'COVID19', 'indices': [56, 64]}, {'text': 'coronavirus', 'indices': [65, 77]}, {'text': 'CoronaVirusUpdates', 'indices': [78, 97]}, {'text': 'Corona', 'indices': [98, 105]}, {'text': 'vaccine', 'indices': [106, 114]}, {'text': 'vaccination', 'indices': [115, 127]}]",3,6,Wednesday,24,0
54,sonu_monika,A Doctor + Digital Health Entrepreneur. Contributing my bit on minimising the gap between the technology and the humanity and I am absolutely Loving it!,bengaluru india,209,124,1814,2018-08-04 07:05:24,2021-03-24 06:24:31,2,the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination  ,"[{'text': 'virus', 'indices': [4, 10]}, {'text': 'COVIDー19', 'indices': [29, 38]}, {'text': 'COVID19', 'indices': [39, 47]}, {'text': 'coronavirus', 'indices': [48, 60]}, {'text': 'CoronaVirusUpdates', 'indices': [61, 80]}, {'text': 'Corona', 'indices': [81, 88]}, {'text': 'vaccine', 'indices': [89, 97]}, {'text': 'vaccination', 'indices': [98, 110]}]",3,6,Wednesday,24,0
55,sonu_monika,A Doctor + Digital Health Entrepreneur. Contributing my bit on minimising the gap between the technology and the humanity and I am absolutely Loving it!,bengaluru india,209,124,1814,2018-08-04 07:05:24,2021-03-24 06:24:09,4,sonumonika the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccineswo ,"[{'text': 'virus', 'indices': [21, 27]}, {'text': 'COVIDー19', 'indices': [46, 55]}, {'text': 'COVID19', 'indices': [56, 64]}, {'text': 'coronavirus', 'indices': [65, 77]}, {'text': 'CoronaVirusUpdates', 'indices': [78, 97]}, {'text': 'Corona', 'indices': [98, 105]}, {'text': 'vaccine', 'indices': [106, 114]}, {'text': 'vaccination', 'indices': [115, 127]}]",3,6,Wednesday,24,0
56,sonu_monika,A Doctor + Digital Health Entrepreneur. Contributing my bit on minimising the gap between the technology and the humanity and I am absolutely Loving it!,bengaluru india,209,124,1814,2018-08-04 07:05:24,2021-03-24 06:24:05,4,the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination  ,"[{'text': 'virus', 'indices': [4, 10]}, {'text': 'COVIDー19', 'indices': [29, 38]}, {'text': 'COVID19', 'indices': [39, 47]}, {'text': 'coronavirus', 'indices': [48, 60]}, {'text': 'CoronaVirusUpdates', 'indices': [61, 80]}, {'text': 'Corona', 'indices': [81, 88]}, {'text': 'vaccine', 'indices': [89, 97]}, {'text': 'vaccination', 'indices': [98, 110]}]",3,6,Wednesday,24,0
57,forbes_india,"Bringing you the best conversations on Indian and international business, in alliance with @Forbes. Run by our journalists. Read more at http://t.co/jSdy7uG6PL",india,965,1263403,68848,2009-02-27 23:28:43,2021-03-24 06:17:29,1,timeline one year since the worlds strictest lockdown we take a look at how coronavirus has evolved in india fr  ,[],3,6,Wednesday,24,0
58,airnews_mumbai,"Official account of Regional News Unit, All India Radio, Mumbai",mumbai india,410,3897,51873,2016-12-19 10:44:21,2021-03-24 05:53:08,16,"pibindia covidvaccinationday 

 pointright india crosses a landmark milestone in covid vaccination more than  cr covid vaccine dose ","[{'text': 'COVID19Vaccination', 'indices': [15, 34]}]",3,5,Wednesday,24,1
59,libertyscott,"NZ resident libertarian, pro-capitalist, objectivist. ex. Australia and UK. Management consultant, writes on economics, international affairs and transport",new zealand,858,562,14764,2009-02-09 10:56:47,2021-03-24 05:38:57,1,the kind and equity obsessed labour govt has declared that wealthy popular people who play sport for a living ca  ,[],3,5,Wednesday,24,0
60,lemkeshwari,"Die-Hard Fan of the Lady Superstar😍
 @meramyakrishnan❤
She is #love❤
she is #everything❤
Evergreen Beauty❤ Queen Ramya Krishnan❤
Love her a lot.......😍😘❤",pune india,30,626,849,2019-06-19 10:16:35,2021-03-24 04:46:10,3,"telugupycker ramya krishnan gets her first covid vaccine jab

ramyakrishnan covidvacccine foryourself forothers  getvaccienat ","[{'text': 'RamyaKrishnan', 'indices': [71, 85]}, {'text': 'covidvacccine', 'indices': [86, 100]}, {'text': 'foryourself', 'indices': [101, 113]}, {'text': 'forothers', 'indices': [114, 124]}]",3,4,Wednesday,24,0
61,angshchak1,Enthusiast.,kolkata india,639,615,115729,2015-11-19 09:32:23,2021-03-24 04:39:57,19,"covidnewsbymib indiafightscorona

covidvaccination  day 

india crosses a landmark milestone in covid vaccination more tha ","[{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19Vaccination', 'indices': [41, 60]}]",3,4,Wednesday,24,0
